MCNo,Event Number,Rating (0-3),E1 (GeV),px1 (GeV/c),py1 (GeV/c),pz1 (GeV/c),E2 (GeV),px2 (GeV/c),py2 (GeV/c),pz2 (GeV/c)
161,1023175597,2,10.3602,2.32773,-0.236921,-10.092,6.14311,1.72966,1.90227,-5.5782
162,1023184230,1,12.2988,-2.86564,-0.400809,-11.9531,3.81149,0.685262,0.390454,-3.7275
163,1023196729,0,5.2733,0.510762,-1.9136,4.88608,6.00587,-1.37444,-1.19667,5.72173
164,1023254496,2,6.39654,-1.73727,-0.526386,6.13265,5.13082,0.674565,-1.40232,4.88801
165,1023279734,2,8.17509,4.06352,-5.31872,4.69254,3.50105,1.0708,-0.805989,3.23264
166,1023342530,0,7.80992,1.63941,-0.162696,7.63345,6.15679,-0.109965,1.21766,6.03325
167,1023345201,0,7.1577,-1.65023,0.856949,-6.91115,3.60359,0.229133,-0.854802,-3.49163
168,1023350291,2,13.7487,0.899433,3.34739,-13.3042,5.45567,-1.32442,1.49416,-5.07608
169,1023411622,0,5.38011,0.788896,1.07189,5.21183,3.85552,-0.863797,-0.141315,3.75336
170,1023437007,2,7.36026,0.607994,-1.71935,7.12996,3.95502,1.57084,4.29E-05,3.62815
171,1023516199,2,7.80212,1.6964,-2.59254,-7.15981,2.9719,-1.20264,-0.759398,-2.60729
172,1023566317,2,12.5482,2.13683,2.5336,12.1022,3.4784,-0.891602,0.995769,3.20961
173,1023569903,1,14.0955,-2.66229,1.92635,13.7067,4.8296,-0.0685799,1.81426,4.4741
174,1023577571,1,10.028,-1.00983,-1.4949,9.86385,3.75456,1.12554,-1.61656,3.1946
175,1023579273,0,31.3094,2.69256,5.9309,30.6242,3.59402,1.09694,0.399857,3.39745
176,1023581507,2,11.3372,0.441628,-2.83784,-10.9669,3.02441,-0.871096,-0.22683,-2.88542
177,1023592942,1,14.245,-2.78069,3.29352,13.5768,4.06246,0.419303,0.698795,3.97848
